FlexPDE Version 6.36s/W32  14:13:44 Jan  8 2015
(Times listed are wall-clock times, not charged CPU).

START C:\Users\gasla\Documents\2CM4_DA2\assignment_2_heatflow.pde  19:55:20 2/8/24
Using 1 Thread(s)
 +00:00:01| Step 72 Time= 11.52780 Dt= 0.400646 Nodes=818 Cells=381 RMS ERR= 0.002997 MAX ERR= 0.004344 TIME ERR= 6.298e-5 MEM=1254
 +00:00:01| Step 73 Time= 11.97733 Dt= 0.449532 Nodes=818 Cells=381 RMS ERR= 0.002969 MAX ERR= 0.004304 TIME ERR= 3.007e-5 MEM=1254
 +00:00:01| Step 74 Time= 12.48171 Dt= 0.504384 Nodes=818 Cells=381 RMS ERR= 0.002940 MAX ERR= 0.004261 TIME ERR= 1.662e-5 MEM=1254
 +00:00:01| Step 75 Time= 13.04764 Dt= 0.565928 Nodes=818 Cells=381 RMS ERR= 0.002906 MAX ERR= 0.004212 TIME ERR= 1.258e-5 MEM=1254
 +00:00:01| Step 76 Time= 13.68262 Dt= 0.634981 Nodes=818 Cells=381 RMS ERR= 0.002870 MAX ERR= 0.004160 TIME ERR= 1.414e-5 MEM=1254
 +00:00:01| Step 77 Time= 14.39508 Dt= 0.712461 Nodes=818 Cells=381 RMS ERR= 0.002831 MAX ERR= 0.004104 TIME ERR= 1.675e-5 MEM=1254
 +00:00:01| Step 78 Time= 15.19448 Dt= 0.799394 Nodes=818 Cells=381 RMS ERR= 0.002790 MAX ERR= 0.004044 TIME ERR= 2.011e-5 MEM=1254
 +00:00:01| Step 79 Time= 16.09141 Dt= 0.896935 Nodes=818 Cells=381 RMS ERR= 0.002747 MAX ERR= 0.003982 TIME ERR= 2.425e-5 MEM=1254
 +00:00:01| Step 80 Time= 17.09779 Dt= 1.006378 Nodes=818 Cells=381 RMS ERR= 0.002702 MAX ERR= 0.003916 TIME ERR= 2.916e-5 MEM=1254
 +00:00:01| Step 81 Time= 18.22696 Dt= 1.129174 Nodes=818 Cells=381 RMS ERR= 0.002653 MAX ERR= 0.003845 TIME ERR= 3.487e-5 MEM=1254
 +00:00:01| Step 82 Time= 19.49392 Dt= 1.266955 Nodes=818 Cells=381 RMS ERR= 0.002602 MAX ERR= 0.003771 TIME ERR= 4.143e-5 MEM=1254
 +00:00:01| Step 83 Time= 20.91547 Dt= 1.421546 Nodes=818 Cells=381 RMS ERR= 0.002549 MAX ERR= 0.003694 TIME ERR= 4.897e-5 MEM=1254
 +00:00:01| Step 84 Time= 22.51047 Dt= 1.595001 Nodes=818 Cells=381 RMS ERR= 0.002494 MAX ERR= 0.003615 TIME ERR= 5.762e-5 MEM=1254
 +00:00:01| Step 85 Time= 24.30009 Dt= 1.789621 Nodes=818 Cells=381 RMS ERR= 0.002438 MAX ERR= 0.003534 TIME ERR= 6.756e-5 MEM=1254
 +00:00:01| Step 86 Time= 26.30807 Dt= 2.007988 Nodes=818 Cells=381 RMS ERR= 0.002380 MAX ERR= 0.003449 TIME ERR= 7.905e-5 MEM=1254
 +00:00:01| Step 87 Time= 28.56107 Dt= 2.252999 Nodes=818 Cells=381 RMS ERR= 0.002320 MAX ERR= 0.003362 TIME ERR= 9.251e-5 MEM=1254
 +00:00:01| Step 88 Time= 31.08898 Dt= 2.527907 Nodes=818 Cells=381 RMS ERR= 0.002257 MAX ERR= 0.003271 TIME ERR= 1.086e-4 MEM=1254
 +00:00:01| Step 89 Time= 33.92534 Dt= 2.836358 Nodes=818 Cells=381 RMS ERR= 0.002191 MAX ERR= 0.003176 TIME ERR= 1.279e-4 MEM=1255
 +00:00:01| Step 90 Time= 37.10778 Dt= 3.182446 Nodes=818 Cells=381 RMS ERR= 0.002119 MAX ERR= 0.003072 TIME ERR= 1.513e-4 MEM=1256
 +00:00:01| Step 91 Time= 40.67855 Dt= 3.570763 Nodes=818 Cells=381 RMS ERR= 0.002034 MAX ERR= 0.002949 TIME ERR= 1.791e-4 MEM=1256
 +00:00:01| Step 92 Time= 44.68501 Dt= 4.006462 Nodes=818 Cells=381 RMS ERR= 0.001941 MAX ERR= 0.002813 TIME ERR= 2.110e-4 MEM=1256
 +00:00:01| Step 93 Time= 49.18033 Dt= 4.495324 Nodes=818 Cells=381 RMS ERR= 0.001834 MAX ERR= 0.002658 TIME ERR= 2.479e-4 MEM=1256
 +00:00:01| Step 94 Time= 54.22417 Dt= 5.043837 Nodes=818 Cells=381 RMS ERR= 0.001708 MAX ERR= 0.002476 TIME ERR= 2.905e-4 MEM=1256
 +00:00:01| Step 95 Time= 60.00000 Dt= 5.775828 Nodes=818 Cells=381 RMS ERR= 0.001550 MAX ERR= 0.002246 TIME ERR= 3.581e-4 MEM=1256
 +00:00:01| --DONE-- 19:55:21 2/8/24
